RespId,educ,race,gender,income_cat,voter_category
470189,High school or less,White,Female,$75-125k,rarely/never
470190,Some college,White,Male,$75-125k,always
470191,Some college,White,Male,$40-75k,always
470193,High school or less,White,Female,$40-75k,always
470196,Some college,Black,Female,$40-75k,sporadic
470198,High school or less,White,Female,$75-125k,sporadic
470200,College,White,Male,$75-125k,sporadic
470201,High school or less,White,Male,Less than $40k,rarely/never
470205,Some college,Black,Male,$75-125k,sporadic
470206,College,White,Male,$40-75k,always
470207,Some college,White,Female,$75-125k,always
470208,Some college,White,Female,$75-125k,always
480222,High school or less,White,Female,Less than $40k,rarely/never
470212,Some college,White,Female,Less than $40k,always
470213,High school or less,White,Male,$75-125k,sporadic
470214,High school or less,White,Male,$75-125k,sporadic
470215,High school or less,White,Male,$125k or more,sporadic
480230,Some college,Black,Male,$75-125k,sporadic
470216,Some college,White,Female,$40-75k,always
470217,Some college,White,Male,$75-125k,always
470218,High school or less,White,Female,Less than $40k,rarely/never
470219,Some college,White,Female,$125k or more,sporadic
470220,College,White,Male,$125k or more,sporadic
470222,College,White,Female,Less than $40k,sporadic
470225,Some college,Black,Female,Less than $40k,sporadic
470228,Some college,White,Female,Less than $40k,sporadic
470229,High school or less,White,Female,Less than $40k,always
470230,Some college,White,Male,$75-125k,always
470232,College,White,Male,$125k or more,rarely/never
470233,Some college,White,Male,$125k or more,rarely/never
470235,Some college,Other/Mixed,Female,$75-125k,sporadic
470237,High school or less,White,Female,Less than $40k,rarely/never
470238,High school or less,White,Female,Less than $40k,rarely/never
470239,College,Other/Mixed,Female,$125k or more,sporadic
470241,Some college,White,Female,Less than $40k,rarely/never
470242,Some college,White,Male,$75-125k,always
470243,High school or less,White,Female,Less than $40k,always
470246,Some college,Hispanic,Female,Less than $40k,sporadic
470247,Some college,White,Male,$40-75k,always
470248,High school or less,Other/Mixed,Female,$75-125k,sporadic
470250,College,Black,Female,Less than $40k,always
470251,High school or less,White,Female,Less than $40k,sporadic
470255,Some college,Hispanic,Female,$75-125k,sporadic
480273,High school or less,White,Female,$40-75k,always
470256,Some college,White,Female,$125k or more,always
470257,College,White,Female,$75-125k,always
470259,College,White,Male,$75-125k,always
470260,High school or less,White,Male,$40-75k,sporadic
470262,College,White,Male,$75-125k,always
470266,College,White,Female,$125k or more,always
470267,College,White,Female,$75-125k,sporadic
470268,High school or less,Hispanic,Female,Less than $40k,sporadic
470270,College,White,Female,$75-125k,always
470271,College,White,Female,$125k or more,sporadic
470272,College,Black,Female,$40-75k,sporadic
470273,College,White,Female,$125k or more,sporadic
480292,College,White,Male,Less than $40k,always
470274,High school or less,Hispanic,Female,$75-125k,rarely/never
470275,College,White,Male,$125k or more,always
470276,High school or less,White,Female,Less than $40k,always
480296,College,White,Female,$125k or more,rarely/never
470277,High school or less,White,Female,$40-75k,sporadic
470278,College,White,Male,Less than $40k,always
470279,Some college,Black,Female,$40-75k,always
470282,Some college,Black,Male,$40-75k,rarely/never
470283,College,Black,Male,$75-125k,rarely/never
480304,High school or less,Hispanic,Female,$75-125k,rarely/never
470284,High school or less,White,Female,$125k or more,always
470285,College,White,Female,$125k or more,sporadic
470286,College,White,Male,$125k or more,sporadic
470289,Some college,White,Female,Less than $40k,sporadic
470290,Some college,White,Female,$75-125k,sporadic
470291,Some college,White,Male,Less than $40k,always
470292,Some college,White,Male,$125k or more,sporadic
470293,College,White,Female,$75-125k,always
470294,College,White,Male,$125k or more,sporadic
470301,Some college,White,Male,$40-75k,sporadic
470305,High school or less,White,Female,$40-75k,always
470309,High school or less,Other/Mixed,Male,Less than $40k,always
470310,Some college,Black,Male,$75-125k,sporadic
470311,College,White,Female,$75-125k,always
470312,High school or less,Black,Male,$40-75k,sporadic
470313,High school or less,White,Female,Less than $40k,always
470314,High school or less,White,Female,$40-75k,always
480336,High school or less,White,Female,$40-75k,rarely/never
480339,High school or less,White,Female,$125k or more,always
470317,College,White,Male,$125k or more,sporadic
470319,Some college,White,Male,$75-125k,rarely/never
470320,Some college,White,Male,$125k or more,sporadic
470321,College,White,Female,Less than $40k,sporadic
470322,High school or less,White,Male,$40-75k,sporadic
470323,College,White,Male,$40-75k,always
470326,High school or less,White,Male,$75-125k,sporadic
470329,College,White,Male,$125k or more,sporadic
470330,High school or less,White,Male,$40-75k,sporadic
470331,Some college,Black,Female,$125k or more,always
470332,High school or less,White,Male,$40-75k,sporadic
470333,Some college,Hispanic,Female,$75-125k,always
470334,Some college,White,Female,Less than $40k,rarely/never
470338,College,Black,Female,$125k or more,sporadic
470340,College,White,Female,$125k or more,always
470341,College,White,Female,$75-125k,always
470343,College,White,Male,$125k or more,sporadic
470344,Some college,White,Female,Less than $40k,rarely/never
470345,High school or less,White,Male,$75-125k,always
470348,High school or less,White,Male,$75-125k,sporadic
470349,Some college,White,Female,$125k or more,always
470350,Some college,Other/Mixed,Male,$75-125k,sporadic
470351,High school or less,White,Male,$40-75k,always
470352,College,White,Female,$75-125k,sporadic
470353,College,White,Female,$125k or more,sporadic
470354,Some college,White,Female,Less than $40k,sporadic
470355,High school or less,Other/Mixed,Male,$125k or more,always
470356,High school or less,Black,Female,$40-75k,always
470358,College,White,Male,$40-75k,rarely/never
480385,College,Other/Mixed,Female,$125k or more,rarely/never
470359,College,White,Female,$75-125k,always
470361,Some college,White,Female,$125k or more,always
470362,High school or less,White,Male,$40-75k,sporadic
470363,Some college,White,Female,$75-125k,rarely/never
470364,College,White,Female,$125k or more,sporadic
470365,College,White,Female,$75-125k,sporadic
470366,College,White,Female,$125k or more,always
470367,High school or less,White,Female,Less than $40k,sporadic
470370,College,Hispanic,Male,Less than $40k,rarely/never
470371,Some college,White,Male,$75-125k,sporadic
470372,Some college,White,Male,$75-125k,sporadic
470373,College,White,Male,$40-75k,sporadic
470374,College,White,Male,$40-75k,rarely/never
470375,College,Black,Male,$125k or more,always
470376,College,Black,Female,$75-125k,always
470377,College,White,Female,$75-125k,always
470379,High school or less,White,Male,$75-125k,rarely/never
470382,College,White,Female,$125k or more,rarely/never
470383,College,Other/Mixed,Male,Less than $40k,sporadic
470384,College,White,Male,$125k or more,sporadic
470385,Some college,White,Female,$125k or more,always
470387,Some college,White,Male,$75-125k,sporadic
470389,High school or less,White,Male,$40-75k,sporadic
470391,Some college,White,Female,Less than $40k,always
470392,Some college,Black,Female,Less than $40k,always
470393,College,White,Male,$40-75k,rarely/never
470394,High school or less,White,Female,$75-125k,always
470395,High school or less,White,Female,$75-125k,sporadic
470396,Some college,White,Female,$40-75k,rarely/never
470397,High school or less,White,Male,Less than $40k,always
470399,Some college,White,Male,$75-125k,always
470403,High school or less,Black,Female,Less than $40k,sporadic
480432,Some college,Black,Male,$40-75k,always
470405,College,White,Male,$125k or more,always
470407,Some college,White,Female,$75-125k,always
470408,Some college,Hispanic,Male,$40-75k,always
470409,College,Other/Mixed,Female,$125k or more,sporadic
470411,Some college,White,Male,$75-125k,always
470412,High school or less,White,Female,$75-125k,always
470414,College,White,Male,$125k or more,always
470415,Some college,White,Male,$125k or more,rarely/never
470416,College,White,Female,Less than $40k,always
470417,College,Black,Male,$40-75k,rarely/never
470419,High school or less,White,Female,Less than $40k,sporadic
470420,Some college,White,Male,$125k or more,sporadic
470421,Some college,White,Female,$40-75k,always
470422,High school or less,White,Male,Less than $40k,always
470423,Some college,Hispanic,Female,$75-125k,sporadic
470424,College,White,Male,$75-125k,always
470425,College,Black,Male,$75-125k,sporadic
480454,Some college,Black,Male,$40-75k,sporadic
470426,College,Black,Female,$75-125k,rarely/never
470427,College,White,Male,$125k or more,sporadic
470428,College,White,Female,$75-125k,sporadic
470429,Some college,White,Male,$75-125k,always
470430,Some college,White,Female,$125k or more,sporadic
470431,College,White,Female,$75-125k,always
470433,College,White,Male,$125k or more,always
470434,High school or less,White,Female,$125k or more,sporadic
470436,College,White,Male,$125k or more,sporadic
470437,Some college,White,Male,$125k or more,always
470439,College,Black,Male,$125k or more,always
470440,High school or less,White,Male,$40-75k,rarely/never
470442,Some college,White,Male,$40-75k,sporadic
470444,High school or less,White,Male,Less than $40k,always
470445,High school or less,White,Female,$40-75k,always
470446,High school or less,Other/Mixed,Female,Less than $40k,sporadic
470448,Some college,White,Female,Less than $40k,sporadic
480478,Some college,Black,Female,$75-125k,always
470449,College,White,Female,$125k or more,sporadic
470450,Some college,White,Female,$125k or more,rarely/never
470451,Some college,White,Female,$75-125k,always
470452,High school or less,White,Male,$125k or more,sporadic
470455,College,Hispanic,Female,$125k or more,sporadic
470457,High school or less,Black,Male,$40-75k,rarely/never
470458,College,White,Male,$40-75k,sporadic
470459,College,White,Male,$75-125k,sporadic
470460,College,White,Female,$125k or more,always
480491,High school or less,White,Female,Less than $40k,sporadic
470461,College,White,Male,$125k or more,sporadic
470466,College,White,Male,$75-125k,sporadic
470468,High school or less,Black,Female,$75-125k,sporadic
470469,Some college,White,Female,$40-75k,always
470470,College,White,Male,$75-125k,sporadic
470471,College,White,Male,$75-125k,sporadic
470472,High school or less,White,Male,$40-75k,sporadic
470474,College,White,Male,$75-125k,always
470476,College,Black,Female,$75-125k,always
470477,High school or less,White,Male,$75-125k,always
470478,College,White,Male,$125k or more,sporadic
470480,High school or less,Hispanic,Male,$40-75k,sporadic
470481,College,White,Male,$125k or more,always
470482,High school or less,White,Male,$40-75k,sporadic
470483,Some college,White,Male,$125k or more,always
470484,Some college,White,Female,$125k or more,always
470485,College,Other/Mixed,Male,$125k or more,rarely/never
470487,College,White,Male,$40-75k,always
470488,Some college,Black,Female,Less than $40k,sporadic
480520,High school or less,White,Female,$40-75k,sporadic
470489,College,Black,Male,$75-125k,sporadic
470490,College,White,Male,$125k or more,rarely/never
470491,College,White,Female,$40-75k,always
470492,Some college,White,Female,Less than $40k,always
470495,High school or less,White,Male,$40-75k,sporadic
470496,Some college,White,Female,$40-75k,always
470497,High school or less,White,Female,Less than $40k,sporadic
470498,High school or less,Hispanic,Female,$40-75k,sporadic
470499,Some college,White,Female,$40-75k,sporadic
480532,College,Black,Female,$75-125k,always
